basin,horizon,p90_cfs,n_test,persist_CSI,routing_CSI,xgb_CSI,persist_NSE,routing_NSE,xgb_NSE,n_events
verde,1,402.0,1095,0.7935483870967691,0.5399999999999964,0.8280254777070011,0.4214616098379068,0.6052790365622678,0.677808043066441,139
verde,3,402.0,1095,0.5706214689265504,0.5533333333333297,0.5132743362831835,-0.19600279772620444,0.24526282024546375,0.24200110388886065,139
verde,7,402.0,1095,0.49462365591397583,0.4936708860759463,0.41199999999999837,-0.12990287951706292,0.1884142091560843,0.1978564982975587,139
james,1,15700.0,1095,0.5876288659793755,0.7749999999999904,0.8452380952380852,0.7734199852115694,0.9195202370579165,0.941453436041255,77
james,3,15700.0,1095,0.23809523809523622,0.25581395348836916,0.36440677966101387,0.29276754351858925,0.43496116167628684,0.4790514827103287,77
james,7,15700.0,1095,0.19402985074626722,0.09195402298850469,0.16037735849056453,-0.05203950926649448,0.23484876162045765,0.2879615086594086,77
potomac,1,26200.0,1093,0.5599999999999887,0.6222222222222084,0.7659574468084943,0.7867380332492747,0.8606075555897663,0.9197571015442262,39
potomac,3,26200.0,1093,0.16176470588235056,0.199999999999996,0.327868852459011,0.16426556077051924,0.37955940014960754,0.4650535544879143,39
potomac,7,26200.0,1093,0.06410256410256329,0.03846153846153772,0.07462686567164069,-0.39336703437471265,0.07195967272168646,0.1104279109626769,39
willamette,1,47600.0,1095,0.76146788990825,0.807339449541277,0.8348623853210932,0.9502847371315661,0.9696112560826675,0.985361576613048,96
willamette,3,47600.0,1095,0.5196850393700747,0.5203252032520284,0.6101694915254186,0.72968967918715,0.7711973567606827,0.8046881214154573,96
willamette,7,47600.0,1095,0.3221476510067093,0.290322580645159,0.3165467625899258,0.4178790638040706,0.5102608169272299,0.5107457016692767,96
animas,1,1860.0,1095,0.9252336448598045,0.9142857142857056,0.9038461538461452,0.9774519070772313,0.9801440672290157,0.9842938857717881,103
animas,3,1860.0,1095,0.8230088495575149,0.8857142857142773,0.8285714285714207,0.8952744727140252,0.9039807357022313,0.9121662218353609,103
animas,7,1860.0,1095,0.6612903225806399,0.6869565217391245,0.6874999999999939,0.811639361102755,0.8480587821128759,0.8474126190727287,103
