basin,horizon,p90_cfs,n_test,persist_CSI,routing_CSI,xgb_CSI,persist_NSE,routing_NSE,xgb_NSE,xgb_local_NSE,ablation_delta,n_events
bow,1,202.0,756,0.8499999999999894,0.8554216867469777,0.8860759493670775,0.97332913629733,0.9760406012852136,0.8713331321754086,0.789696731073713,0.08163640110169568,74
bow,3,202.0,756,0.6444444444444373,0.7951807228915567,0.7831325301204726,0.88007434859372,0.8958301468469441,0.9158807782677414,0.705571513330766,0.21030926493697544,74
bow,7,202.0,756,0.4095238095238056,0.5053763440860161,0.6179775280898807,0.722895726219507,0.7290932694795214,0.8565757941207139,0.8198322875590474,0.03674350656166658,74
