horizon,n_test_all,n_test_open,ice_frac_test,all_routing_NSE,all_xgb_NSE,all_xgb_CSI,open_routing_NSE,open_xgb_NSE,open_xgb_CSI,open_routing_CSI,open_n_events
1,756,646,0.1455026455026455,0.9760406012852136,0.8713331321754086,0.8860759493670775,0.9734705966756445,0.8557326775863301,0.8860759493670775,0.8554216867469777,74
3,756,646,0.1455026455026455,0.8958301468469441,0.9158807782677414,0.7831325301204726,0.8851653692121668,0.9073206188969356,0.7831325301204726,0.7951807228915567,74
7,756,646,0.1455026455026455,0.7290932694795214,0.8565757941207139,0.6179775280898807,0.7041928768352401,0.8427094975920316,0.6179775280898807,0.5053763440860161,74
